,generated question,gold question
39,What percentage of Notre dame students made it through the early action plan?,how many incoming students did notre dame admit in fall 2015 ?
40,What percentage of Notre dame students made it through the early action plan?,what percentage of students were admitted to notre dame in fall 2015 ?
41,What kind of college does notre dame have?,where does notre dame rank in terms of academic profile among research universities in the us ?
42,What percentage of Notre dame students made early admission?,what percentage of students at notre dame participated in the early action program ?
43,What percentage of Notre dame students made it through the early action plan?,how many miles does the average student at notre dame travel to study there ?
44,What was said to rank Notre dame 18th in the u.s. news world report's best colleges 2016?,where did u.s. news & world report rank notre dame in its 2015-2016 university rankings ?
45,What website said Notre dame was one of the best universities?,forbes.com placed notre dame at what position compared to other us research universities ?
46,What percentage of Notre dame students made it through the program?,the undergrad school at the mendoza college of business was ranked where according to businessweek ?
47,What was said to rank notre dame based on data?,in 2014 what entity named notre dame 10th best of all american universities ?
48,What percentage of Notre dame students are able to study abroad in the same number of countries?,what percentage of notre dame students decide to study abroad ?
49,What was joseph carrier's title?,what person was the director of the science museum at notre dame in the late 19th century ?
50,Who was joseph carrier's student?,what was the lifespan of john augustine zahm ?
51,Who was joseph carrier's student?,what program did john augustine zahm come to co-direct at nore dame ?
52,What was said about joseph carrier's students in evolution and dogma?,what book did john zahm write in 1896 ?
53,What was joseph carrier's title?,what professorship did father josh carrier hold at notre dame ?
54,What may be the probable reason for the early use of wind tunnels in aeronautical study?,in what year did albert zahm begin comparing aeronatical models at notre dame ?
55,What was said to be the author's main occupation?,which professor sent the first wireless message in the usa ?
56,What was said to be the author's main occupation?,in what year did jerome green send his first wireless message ?
57,What was the first action taken for the people mentioned in the text?,which individual worked on projects at notre dame that eventually created neoprene ?
58,What may be the probable reason for the early use of wind tunnels in aeronautical study?,what did the brother of john zahm construct at notre dame ?
59,What was the first goal of the institute?,work on a germ-free-life ended up in the creation of which notre dame institute ?
60,What changed in status of lobund institute in relation to its original status?,around what time did lobund of notre dame become independent ?
61,What changed in status of lobund institute in relation to its original status?,in what year did lobund at notre dame become an institute ?
62,What changed in 1958 with lobund?,the lobund institute was merged into the department of biology at notre dame in what year ?
63,What was the first goal of the institute?,when did study of a germ-free-life begin at notre dame ?
64,What was the first review magazine for you?,gurian created what in 1939 at notre dame ?
65,What was the first review magazine for you?,what was the review of politics inspired by ?
66,Who edited the review of politics for the 44 year period?,over how many years did gurian edit the review of politics at notre dame ?
67,What was the first review magazine for you?,thomas stritch was an editor of which publican from notre dame ?
68,What may be the reason for the president's hope?,who was the president of notre dame in 2012 ?
69,What may be the reason for the president's hope?,the kellogg institute for international studies is part of which university ?
70,What are some types of programs for Notre Dame students?,what does the kroc institute at notre dame focus on ?
71,What index is Notre dame home to?,in what year did notre dame begin to host the global adaptation index ?
72,What index is Notre dame home to?,what threat does the global adaptation index study ?
73,What are some types of schools for students that were in 2014?,how many undergrads were attending notre dame in 2014 ?
74,What percentage of Notre dame students are not part of alumni?,what percentage of students at notre dame are the children of former notre dame students ?
75,What kind of tournament does Notre dame have each year?,how many teams participate in the notre dame bookstore basketball tournament ?
76,What kind of tournament does Notre dame have each year?,for what cause is money raised at the bengal bouts tournament at notre dame ?
77,What are some types of schools for students that were in 2014?,how many students in total were at notre dame in 2014 ?
78,What percentage of graduate students live on campus?,what percentage of undergrads live on the notre dame campus ?
79,What percentage of graduate students live on campus?,how many student housing areas are reserved for notre dame 's graduate students ?
80,What are the types of residence halls that the university is associated with?,how many dorms for males are on the notre dame campus ?
81,What percentage of graduate students live on campus?,what amount of the graduate student body at notre dame live on the campus ?
82,What are the types of residence halls that the university is associated with?,there are how many dorms for females at notre dame ?
83,What religion is the author?,what is congregation of holy cross in latin ?
84,What religion do 99% of students identify as?,what percentage of notre dame students feel they are christian ?
85,What religion do 99% of students identify as?,how often is catholic mass held at notre dame in a week ?
86,What percentage of the students are Catholic?,how many chapels are on the notre dame campus ?
87,What religion do 99% of students identify as?,what amount of the student body of notre dame identifies as catholic ?
88,What was said to happen to the hall that hosted plays?,what was the music hall at notre dame called ?
89,What may be the reason for students to close the school?,in what year was the main building at notre dame razed in a fire ?
90,Who else planned for the rebuilding of the university?,who was the president of notre dame in 1879 ?
91,What day did construction start on the main building?,on what date was the rebuilding of the main building begun at notre dame after the fire that claimed the previous ?
92,"What event happened first, the main building being destroyed or a science hall being built?",what did the science hall at notre dame come to be known as ?
93,What changed in Notre dame for the academic part?,what type of education was pushed at notre dame before its embracing of national standards ?
94,What changed in Notre dame for the academic system in 1921?,which college did notre dame add in 1921 ?
95,What changed in Notre dame for the academic part?,"in 1919 a new president of notre dame was named , who was it ?"
96,What changed in Notre dame for the academic part?,over how many years did the change to national standards undertaken at notre dame in the early 20th century take place ?
97,What reason did jesuit college students have for not wanting to take elective courses?,those who attended a jesuit college may have been forbidden from joining which law school due to the curricula at the jesuit institution ?
98,What date did knute rockne succeed in coaching Notre dame Fighting Irish football team?,"the notre dame football team got a new head coach in 1918 , who was it ?"
99,What percentage of Notre dame Fighting Irish fans were supportive of knute rockne's record?,what was the amount of wins knute rockne attained at notre dame while head coach ?
100,What was said to be one of the results of the coach's efforts?,in what year did the team lead by knute rockne win the rose bowl ?
101,What was said to be one of the results of the coach's efforts?,how many years was knute rockne head coach at notre dame ?
102,What was said to be one of the results of the coach's efforts?,how many national titles were won when knute rockne coached at notre dame ?
103,What caused Notre dame to be made a household name?,"catholic people identified with notre dame , what religious group did people feel yale represented ?"
104,"What event happened first, clash between Notre Dame students and the kkk or students massed downtown protesting the klavern?",notre dame students had a showdown in 1924 with which anti-catholic group ?
105,What day did the clashes begin?,which college president of notre dame is credited with preventing more confrontations between students and the kkk ?
106,"What event happened first, the clash between notre dame students and the klan or the klavern?",what type of event did the klan intend to have at notre dame in march of 1924 ?
107,"What event happened first, the clash between notre dame students and the klan or the klavern?",where did notre dame students and the kkk have their encounter ?
108,What was said to be one of the people that o'hara was?,which person became vice-president of notre dame in 1933 ?
109,What was said to be one of the people that o'hara was?,who was the president of notre dame in 1934 ?
110,Who was involved in the Laetare Medal selection process?,irvin abell was given what award by notre dame ?
111,Who was involved in the Laetare Medal selection process?,which year was the laetare medal first given out at notre dame ?
112,What was said about football by the president?,for whos glory did father o'hara believed that the notre dame football team played ?
113,What was said to be cavanaugh's legacy?,around the time that rev. cavanaugh became president of notre dame by how much did the undergrad student body of notre dame increase ?
114,What else did cavanaugh do for notre dame?,which institute involving animal life did cavanaugh create at notre dame ?
115,What was said to be cavanaugh's legacy?,what is o'shaughnessy hall of notre dame formerly known as ?
116,Who served as president of notre dame?,which president did notre dame have in 1947 ?
117,What else did cavanaugh do for notre dame?,"outside of an institute studying animals , what other institute did cavanugh create at notre dame ?"
118,What date did the author serve for the president's role?,what was the lifespan of theodore hesburgh ?
119,What percentage of the budget did the endowment have in 87,in the time that hesburgh was president of notre dame by what factor did the operating budget increase ?
120,What percentage of the budget did the endowment have in 87,what was the size of the notre dame endowment when theodore hesburgh became president ?
121,What date did the author serve for the president's role?,during what years was theodor hesburgh president of notre dame ?
122,What changed during the presidency of the university?,how many faculty members were at notre dame when hesburgh left the role of president ?
123,What changed in Notre dame for the people who lived near it in the 1960s?,what type of educational institute is hesburgh given credit for creating at notre dame ?
124,What may be the reason for the cohesion in Notre Dame?,which role did charles sheedy have at notre dame ?
125,What may be the reason for the cohesion in Notre Dame?,what title did thomas blantz have at notre dame ?
126,What changed in Notre dame for the first time in 1971?,in what year did notre dame have its earliest undergraduate that was female ?
127,What changed in Notre dame for the people in question?,with what institute did notre dame agree to an exchange program in the 1960s ?
128,What may be the reason for the rapid growth in Notre dame's reputation?,during what years was edward malloy president of notre dame ?
129,What percentage of the school's revenue has increased under edward malloy?,"what was the sat score , on average , at notre dame when edward malloy became president ?"
130,What percentage of the school's revenue has increased under edward malloy?,when malloy became president of notre dame what was the size of the endowment ?
131,What percentage of the school's revenue has increased under edward malloy?,when malloy reached the end of his time as president how much annuals funding for research did notre dame have ?
132,What percentage of the school's revenue has increased under edward malloy?,the amount of professors at notre dame increased by what amount under malloy ?
133,Who was Notre dame's president prior to jenkins taking office?,when did john jenkins become the president of notre dame ?
134,Who was Notre dame's president prior to jenkins taking office?,"in terms of the amount of presidents notre dame has had , where is john jenkins on the list ?"
135,Who took over as president of Notre dame in 2005?,who was the notre dame president that preceded john jenkins ?
136,What was said to be one of the results of his term?,which arena was constructed under jenkins at notre dame ?
137,What was said to be one of the results of his term?,how much money was spent on enhancing notre dame stadium under john jenkins ?
138,What church did the author paint for the basilica?,which congregation is in charge of the old college at notre dame ?
139,What church did the author live for years?,what structure is found on the location of the original church of father sorin at notre dame ?
140,What kind of windows are used for the basilica?,in which architectural style is the basilica of the sacred heart at notre dame made ?
141,Who was said to be an artist in residence in relation to the basilica?,which individual painted the inside of the basilica of the sacred heart at notre dame ?
142,What may be the reason for the basilica being built in a french revival style?,in what year was the grotto of our lady of lourdes at notre dame constructed ?
143,Who was involved in the building of the hall?,which person oversaw the creation of a science hall at notre dame in 1883 ?
144,Who was involved in the building of the science hall?,in what year did the student union building at notre dame get renamed to lafortune center ?
145,Who was involved in the building of the science hall?,after which individual was the lafortune center notre dame named ?
146,What is the first name of the person that has a role in the creation of lafortune center?,how large in square feet is the lafortune center at notre dame ?
147,What percentage of the budget goes for student staff?,what is the annual budget of notre dame 's lafortune center ?
148,What may be the reason for the chapels?,how many halls are at notre dame that house students ?
149,What are some of the books for the library?,which library was built at notre dame in 1963 ?
150,What are some of the books for the library?,how many books are housed at the theodore hesburgh library ?
151,What date did duncan hall begin accepting residents for the fall 2008 semester?,construction for which hall started on march 8th 2007 at notre dame ?
152,What kind of stadiums are for baseball and softball?,which baseball stadium is found at notre dame ?
153,What kind of industry does the author view sustainability as a priority in?,in what year did notre dame create the office of sustainability ?
154,What kind of sources does notre dame's dining services use?,what percentage of the food served at notre dame is locally grown ?
155,What grade did Notre dame receive on the Sustainable Endowments Institute's college sustainability report card 2010?,notre dame got a `` b '' for its sustainability practices from which entity ?
156,What kind of institute does the university host?,gustavo gutierrez is faculty of which institute ?
157,What date did the university first have a part in london?,in what year did notre dame first have a facility in england ?
158,What was the first location of the university's center?,at which location is the london center operated by notre dame found ?
159,What are some of the other global gateway locations mentioned in the text?,"notre dame has a center in beijing , what is it referred to as ?"
160,What was the first location of the university's center?,in what year did the suffolk street location start to house a notre dame facility ?
161,What date did college of arts and letters become part of the university system?,what was notre dame 's first college ?
162,What date did college of arts and letters become part of the university system?,in what year was the the college of arts and letters at notre dame created ?
163,What date did college of arts and letters become part of the university system?,in what year did the college of arts and letters at notre dame grant its first degree ?
164,What was said first about college of arts and letters?,on which university did notre dame base its curriculum on ?
165,What kind of college is college of arts and letters?,how many ba majors does the college of arts and letters at notre dame offer ?
166,Who founded the college of science?,which president at notre dame created the college of science ?
167,Who founded the college of science?,in what year was the notre dame college of science formed ?
168,What kind of college was Patrick Dillon part of?,how many years long was a scientific course under patrick dillon at notre dame ?
169,What kind of college does the author think is the best fit for the student?,which hall at notre dame contains the current college of science ?
170,What kind of college does the author think is the best fit for the student?,how many undergrad students attend the college of science at notre dame today ?
171,What date did Notre dame start to deliver the Bachelor of Architecture degree?,in 1899 notre dame formed which college ?
172,What kind of degree does the school offer?,in what building is the current school of architecture housed at notre dame ?
173,What kind of degree does the school offer?,what length is the course of study at the notre dame school of architecture ?
174,What part of the program are students studying in Rome?,in which location do students of the school of architecture of notre dame spend their 3rd year ?
175,What kind of prizes does Notre dame school of architecture regularly award?,which prestigious prize does the school of architecture at notre dame give out ?
176,What opened in 2015?,in what year did the opening of a theology library at notre dame occur ?
177,What is said to be one of the locations mentioned in the text?,where is the theology library at notre dame ?
178,What may be the probable reason for the library system being so large?,how many books are held by the notre dame libraries ?
179,What may be the probable reason for the library system being so large?,currently where does notre dame 's library rank in the nation ?
180,What caused many intellectuals to flee france and join notre dame?,what caused many intellectual catholics to leave europe in the 1930s ?
181,Who was a notable individual of the 1930s?,from where did anton-hermann chroust come to reach notre dame ?
182,Who was a notable individual of the 1930s?,what field of study did anton-hermann chroust specialize in ?
183,What kind of ideology does max scheler espouse?,who did waldemar gurian receive his tutelage under while seeking his doctorate ?
184,Who was involved in the founding of notre dame?,what was ivan meštrović known for being ?
185,What country is Notre dame Du Lac located in?,"the school known as notre dame is known by a more lengthy name , what is it ?"
186,What country is Notre dame Du Lac located in?,what type of institution is the notre dame ?
187,What is said to be the patron saint of the university of notre dame du lac?,the french words notre dame du lac translate to what in english ?
188,What is said to be the patron saint of the university of notre dame du lac?,who is the patron saint of notre dame ?
189,What are some notable landmarks of the university of notre dame du lac?,how large is notre dame in acres ?
190,Who was the first coach of Notre dame?,what caused notre dame to become notable in the early 20th century ?
191,Who was the first coach of Notre dame?,which 20th century notre dame football coach is most notable ?
192,What are the college football team members known as?,which athletic association are the student athletes at notre dame a part of ?
193,What kind of college football team has Notre Dame?,how many students at notre dame received the heisman trophy ?
194,What kind of college football team has Notre Dame?,"there were multiple students from notre dame who entered the pro football hall of fame , how many ?"
195,What kind of college does notre dame have?,where among us universities does notre dame rank ?
196,What are the colleges of notre dame?,how many individual colleges are part of notre dame ?
197,What kind of prizes does the architecture school receive?,which prize does the architecture school at notre dame give out ?
198,What kind of graduate program does Notre dame have?,how many doctorate and masters programs are available at notre dame ?
199,What are some of the services of notre dame?,which art museum does notre dame administer ?
200,Who built a college on the condition that he build a college?,in what year was father edward sorin given two years to create a college ?
201,Who built a college on the condition that he build a college?,which individual offered land to father edward sorin ?
202,Who built a college on the condition that he build a college?,which church was father edward sorin representing ?
203,What day did edward sorin arrive on the site with eight holy cross brothers from france and ireland?,on what date did brothers from holy cross arrive at the future location of notre dame ?
204,What day did edward sorin arrive on the site with eight holy cross brothers from france and ireland?,which structure was the first used for the purposes of the college ?
205,What date did first degrees from the college start?,in what year did the initial degrees get handed out at notre dame ?
206,What was the first building destroyed for the college?,in what year did the original sorin built main building get replaced ?
207,What year did the library collection start to grow?,which individual began a library at notre dame ?
208,What year did the library collection start to become an impressive collection?,"in what year had the library at notre dame reach 10,000 books ?"
209,What year did the library collection start to grow?,in what year was the library at notre dame started ?
210,What date did ndtv grow?,which television station finds its home at notre dame ?
211,What date did ndtv grow?,how many programs did ndtv feature in 2002 ?
212,What kind of arts are offered for students to learn and experience?,which radio station provides radio to the students of notre dame at 88.9 fm ?
213,What may be a fact about this situation?,which internet radio station of notre dame is served as an internet stream ?
214,What day did eddy street commons open?,how much is eddy street commons at notre dame expected to cost ?
215,What day did eddy street commons open?,when was ground broke on the eddy street commons project of notre dame ?
216,What may be a fact about the people mentioned in the text?,who is the developer of eddy street commons ?
217,What may be a fact about the people mentioned in the text?,which entity did notre dame hire to build a parking structure outside of eddy street commons ?
218,What may be a fact about the people mentioned in the text?,"there were protested as a part of the construction at eddy street commons , they came due tot he hiring of whom ?"
219,What competition did Notre dame compete in?,what does the acronym ncaa stand for ?
220,What competition did Notre dame compete in?,which league did notre dame fighting irish teams participate in in 1982 ?
221,What competition do Notre dame men's and women's teams compete in?,what when conference do the notre dame fencing teams take part in ?
222,What competition do Notre dame men's and women's teams compete in?,"there is a conference that the male hockey team of notre dame competes in , what is it ?"
223,What competition did Notre dame compete in?,in what conference did the fighting irish take part in in 2012 ?
224,What caused Notre Dame to leave big east foracc?,to what conference did the fighting irish go after the big east ?
225,What caused Notre Dame to leave big east foracc?,how many teams in each season do the fighting irish commit to play against acc opponents ?
226,What caused Notre Dame to move to hockey east?,"where did the fighting irish hockey team compete prior to a move to hockey east , in terms of conference ?"
227,What are the official colors of Notre dame?,what colors are the official ones used by notre dame in sport competition ?
228,What is the mascot of notre dame?,what type of mascot do the notre dame sport teams have ?
229,What may be the reason for the subtotal in the text?,who currently provides uniforms to notre dame sport teams ?
230,What kind of industry does under armour belong to?,what is the value of the contract between under armour and notre dame ?
231,What was said to be one of the reasons the marching band was honored?,when did the notre dame marching band form ?
232,What was said to be one of the reasons the marching band was honored?,what is notable about the notre dame marching band ?
233,What was said to rank as the greatest fight song of all time in 1998?,what is the notre dame fight song ?
234,What date did Notre dame start to become an NCAA team?,which team did notre dame 's football team find inspiration from ?
235,What date did Notre dame start to become an NCAA team?,in what year did notre dame football begin ?
236,What are some college football programs for notre dame?,what university is notre dame tied with in terms of most heisman trophy winners ?
237,What may be the reason for Notre dame's long history in college football?,against which team does notre dame compete for the jeweled shillelagh ?
238,What are some college football programs for notre dame?,in terms of notre dame students in the college football hall of fame the amount of students named is what ?
239,What was said to be one of the people that made it's'legendary football player '?,what notable football player played at notre dame from 1916 to 1920 ?
240,What was said to inspire the Notre dame team in 1928?,against which opponent did knute rockne tell his team to `` win one for the gipper ? ''
241,"Who starred as knute rockne in '40 film knute rockne, all american?",which person portrayed knute rockne in the 1940 movie `` knute rockne ? ''
242,"Who starred as knute rockne in '40 film knute rockne, all american?",ronald reagan played the role of whom in 1940 's `` knute rockne ? ''
243,What is the Notre dame football team's current stadium capacity?,how many seats are in notre dame stadium ?
244,What day of the week are football gameday activities typically practiced on in a college football environment?,what is displayed at zahm house for football home games at notre dame ?
245,What day of the week does the football gameday traditions involve?,what occurs at midnight preceding a football home game at notre dame ?
246,What day of the week does the football gameday traditions involve?,from where does the band of the fighting irish lead a march to the notre dame stadium for football home games ?
247,What day of the week would it usually take part in the traditions?,what songs does the trumpet section of the band of the fighting irish play preceding home football games ?
248,What day of the week does the tradition start?,on what day do notre dame home football games occur ?
249,What team did the author discuss above?,how many wins does the notre dame men 's basketball team have ?
250,What team did the author discuss above?,how many schools have a similar men 's basketball record to notre dame in terms of wins ?
251,What team did the author discuss above?,how many ncaa tournaments did the notre dame men 's basketball team take part in ?
252,Who holds the record for most points scored in a single game of the tournament?,which notre dame men 's basketball player has the record for more points in one game ?
253,Who was the first coach of the Notre Dame Fighting Irish?,who was the notre dame men 's basketball coach in 2014 ?
254,Who written the original lyrics for the Notre Dame victory march?,who wrote the original lyrics to the notre dame victory march ?
255,Who written the original lyrics for the Notre Dame victory march?,in what year did michael j. shea graduate from notre dame ?
256,Who written the original lyrics for the Notre Dame victory march?,who is responsible for writing the music for `` notre dame victory march ? ''
257,What date did the author recall the revised lyrics appearing in?,in what year did `` notre dame victory march '' get copyrighted ?
258,What day did Notre dame win over all?,to where are the loyal sons in `` notre dame fight song '' marching ?
259,Who was gipp played by?,"ronald reagan had a nickname , what was it ?"
260,What was parodied for the movie airplane?,in what film did a parody of the `` win one for the gipper '' speech appear ?
261,What character did sean astin played in the movie rudy?,who starred as daniel ruettiger in the film rudy ?
262,how was the parody performed for the movie airplane!?,which person was a former comrade to ted striker in the film airplane !?
263,"Who delivered the famous win one for the gipper speech in the film knute rockne, all american?",pat o'brien portrayed which person in the film knute rockne ?
264,Who are alumni of notre dame?,which secretary of state attended notre dame ?
265,Who won a nobel for science prize?,which notre dame alum from the college of science won a nobel prize ?
266,Who are alumni of notre dame?,who is the current president of notre dame ?
267,What are some notable alumni of Notre dame jr.?,mariel zagunis is notable for winning what ?
268,Who are some notable alumni of Notre dame jr.,which notable astronaut is known to have attended notre dame ?
269,What genre of music does beyonce perform in?,when did beyonce start becoming popular ?
270,What genre of music does beyonce perform in?,what areas did beyonce compete in when she was growing up ?
271,What was the first recording project for beyonce?,when did beyonce leave destiny 's child and become a solo singer ?
272,What genre of music does beyonce perform in?,in what city and state did beyonce grow up ?
273,What genre of music does beyonce perform in?,in which decade did beyonce become famous ?
274,What genre of music does beyonce perform in?,in what r&b group was she the lead singer ?
275,What was the first recording project for beyonce?,what album made her a worldwide known artist ?
276,Who else manages her family business?,who managed the destiny 's child group ?
277,What genre of music does beyonce perform in?,in what city did beyonce grow up ?
278,What was the first recording project for beyonce?,what was the name of beyonce 's first solo album ?
279,What was the first recording project for beyonce?,on what date was beyonce born ?
280,What was the first recording project for beyonce?,what is beyonce 's full name ?
281,What genre of music does beyonce perform in?,when did beyoncé rise to fame ?
282,What genre of music does beyonce perform in?,what role did beyoncé have in destiny 's child ?
283,What was the first recording project for beyonce?,what was the first album beyoncé released as a solo artist ?
284,What was the first recording project for beyonce?,when did beyoncé release dangerously in love ?
285,What was the first recording project for beyonce?,how many grammy awards did beyoncé win for her first solo album ?
286,What genre of music does beyonce perform in?,what was beyoncé 's role in destiny 's child ?
287,What was the first recording project for beyonce?,what was the name of beyoncé 's first solo album ?
288,What was the first recording project for beyonce?,when did beyoncé release her first solo album ?
289,What films did beyonce star in?,"after her second solo album , what other entertainment venture did beyonce explore ?"
290,What changed in 2010 with her career?,which artist did beyonce marry ?
291,What changed in 2010 with her career?,"to set the record for grammys , how many did beyonce win ?"
292,What films did beyonce star in?,for what movie did beyonce receive her first golden globe nomination ?
293,What changed in 2010 with her career?,when did beyonce take a hiatus in her career and take control of her management ?
294,What films did beyonce star in?,which album was darker in tone from her previous work ?
295,What changed in 2010 with her career?,"after what movie portraying etta james , did beyonce create sasha fierce ?"
296,What genre of music does beyonce perform in?,when did destiny 's child end their group act ?
297,What genre of music does beyonce perform in?,what was the name of beyoncé 's second solo album ?
298,What films did beyonce star in?,"what was beyoncé 's first acting job , in 2006 ?"
299,What changed in 2010 with her career?,who is beyoncé married to ?
300,What changed in 2010 with her career?,what is the name of beyoncé 's alter-ego ?
301,What kind of songs does beyonce create?,"in her music , what are some recurring elements in them ?"
302,What was said about her by forbes magazine and billboard in 2011?,time magazine named her one of the most 100 what people of the century ?
303,What publication said beyonce was the most powerful female musician?,which magazine declared her the most dominant woman musician ?
304,Who recognized her as the top certified artist in the 2000s?,in which decade did the recording industry association of america recognize beyonce as the the top certified artist ?
305,What publication said beyonce was the most powerful female musician?,what magazine rated beyonce as the most powerful female musician in 2015 ?
306,What kind of songs does beyonce create?,how did beyonce describe herself as a feminist ?
307,What was said about her by forbes magazine and billboard in 2011?,in which years did time rate beyonce in the 100 most influential people in the world ?
308,What genre of music does beyonce perform in?,how many records has beyonce sold in her 19 year career ?
309,What genre of music does beyonce perform in?,how many records did beyoncé sell as part of destiny 's child ?
310,What genre of music does beyonce perform in?,"after leaving destiny 's child , how many records did beyoncé release under her own name ?"
311,What kind of industry does beyonce belong to?,how many grammy awards has beyoncé won ?
312,What publication said beyonce was the most powerful female musician?,what magazine named beyoncé as the most powerful female musician for 2015 ?
313,What genre of music does beyonce have an affinity for?,beyonce 's younger sibling also sang with her in what band ?
314,What is the first name of the person whose maiden name is beyoncé giselle knowles?,where did beyonce get her name from ?
315,What are mathew and tina's ethnic origins?,what race was beyonce 's father ?
316,What religion did beyonce have to follow as a child?,beyonce 's childhood home believed in what religion ?
317,Who was beyoncé giselle knowles father?,beyonce 's father worked as a sales manager for what company ?
318,Who was beyoncé giselle knowles father?,beyonce 's mother worked in what industry ?
319,What genre of music does beyonce have an affinity for?,what younger sister of beyonce also appeared in destiny 's child ?
320,Who is beyoncé related to?,beyonce is a descendent of what arcadian leader ?
321,Who was beyoncé giselle knowles father?,what company did beyoncé 's father work for when she was a child ?
322,Who was beyoncé giselle knowles father?,what did beyoncé 's mother own when beyoncé was a child ?
323,What genre of music does beyonce have an affinity for?,what is the name of beyoncé 's younger sister ?
324,Who is beyoncé related to?,beyoncé is a descendant of which acadian leader ?
325,What religion did beyonce have to follow as a child?,beyoncé was raised in what religion ?
326,What grade did beyonce attend school in?,what town did beyonce go to school in ?
327,Who started beyonce singing for you?,who was the first person to notice beyonce 's singing ability ?
328,What grade did beyonce attend high school in?,beyonce moved to which town after she left her first elementary school ?
329,Who started beyonce singing for you?,which of her teachers discovered beyonce 's musical talent ?
330,What church did beyonce sing for two years in?,i which church was beyonce a member and soloist in the choir ?
331,What grade did beyonce attend high school in?,what type of school was parker elementary school ?
332,What may be the reason for beyonce's interest in music?,which song did beyonce sing to win a competition at age 7 ?
333,What grade did beyonce attend school in?,what city was beyoncé 's elementary school located in ?
334,Who started beyonce singing for you?,what was the name of beyoncé 's first dance instructor ?
335,What may be the reason for beyonce's interest in music?,how old was beyoncé when she won a school talent show ?
336,What church did beyonce sing for two years in?,what choir did beyoncé sing in for two years ?
337,Who was involved in her family for so long?,who decided to place beyonce 's group in star search the talent show ?
338,What changed in the family following the breakup of the family?,"in 1995 , who decided to manage the girls singing group ?"
339,What happened after the recording of their debut album?,who was the first record label to give the girls a record deal ?
340,Who was involved in her family for so long?,who brought beyonce to california and enter her group in star search ?
341,What changed in the family following the breakup of the family?,in what year did beyonce 's father quit his job to manage her group ?
342,What happened in 1996 that made the Knowles family reunite?,what large record company recorded beyonce 's group 's first album ?
343,What happened after the recording of their debut album?,what record company first signed beyonce 's group and later cut them ?
344,Who was involved in her first audition for an all-girl entertainment group?,at what age did beyonce meet latavia robertson ?
